text,sentiment
Это приемлемо для ежедневного использования.,neutral
Я разочарован.,negative
"Customer support replied, but I still need to wait.",neutral
Die Leistung bricht selbst bei leichter Nutzung stark ein.,negative
Es funktioniert wie vorgesehen.,neutral
The quality is excellent.,positive
I regret purchasing this.,negative
Der Versand hat sich ohne Erklärung zweimal verspätet.,negative
Упаковка пришла порванной и плохо защищенной.,negative
Das Update hat neue Fehler eingeführt und alles verlangsamt.,negative
I regret buying this.,negative
Все в этом выглядит отполированным.,positive
Обновление добавило новые баги и сильно все замедлило.,negative
"The app works, but it has occasional lag.",neutral
Everything works smoothly.,positive
The app feels smooth and responsive.,positive
It has been unreliable from day one.,negative
"Настройка была простой, и все заработало с первой попытки.",positive
Die Bedienelemente sind inkonsistent und reagieren nicht.,negative
"This is amazing, I am very satisfied.",positive
"Der Kundensupport hat geantwortet, aber ich muss noch warten.",neutral
This plugin integrates with some manual adjustment.,neutral
"I absolutely love this product, it works perfectly.",positive
Der Versand kam am geplanten Datum an.,neutral
Ich würde das auf jeden Fall wieder kaufen.,positive
The update introduced new bugs and slowed everything down.,negative
Ich bin überhaupt nicht beeindruckt.,negative
Я настоятельно это рекомендую.,positive
Этот инструмент работает только для простых задач.,neutral
Доставку дважды задержали без объяснений.,negative
Das Produkt wirkt schlecht verarbeitet.,negative
This was a pleasant surprise.,positive
I highly recommend it.,positive
Die Audioqualität ist für gelegentliches Hören akzeptabel.,neutral
The battery drains in just a couple of hours.,negative
Die Akkulaufzeit ist für diesen Preis durchschnittlich.,neutral
Этот плагин идеально интегрируется в мой рабочий процесс.,positive
This is the worst experience I have ever had.,negative
Этот курс очень ясно объяснил тему.,positive
The update fixed every issue I had.,positive
Für die grundlegende Nutzung ist es okay.,neutral
"Цвет немного отличается, но приемлем.",neutral
Соединение продолжает случайно обрываться.,negative
Итоговый результат приемлем для базовых нужд.,neutral
"Я, возможно, купил бы это снова, если цена будет подходящей.",neutral
Продукт кажется плохо сделанным.,negative
I would not buy this again.,negative
This book is fantastic and well written.,positive
"Das Design ist schlicht, aber funktional.",neutral
I appreciate the thoughtful packaging.,positive
Der Versand war schneller als versprochen.,positive
Es funktioniert gut.,positive
"Это ни хорошо, ни плохо.",neutral
Alles läuft reibungslos.,positive
Der Artikel ist nutzlos und kaputt.,negative
The experience was fine overall.,neutral
Die Farbe ist völlig anders als in der Anzeige.,negative
Итоговый результат выглядит небрежным и незавершенным.,negative
Этот плагин интегрируется с небольшой ручной настройкой.,neutral
Этот сервис не предоставил обещанного.,negative
Very satisfied with it.,positive
It is okay for basic use.,neutral
It works well enough.,neutral
This is not worth the money.,negative
Dieser Laptop fühlt sich schnell und zuverlässig an.,positive
Die Audioqualität ist verzerrt und verrauscht.,negative
It is okay I guess.,neutral
Качество звука приемлемое для повседневного прослушивания.,neutral
Цвет и отделка вживую выглядят отлично.,positive
Hier nichts allzu Besonderes.,neutral
"Die Anweisungen waren kurz, aber verständlich.",neutral
Es funktioniert wie erwartet.,neutral
Die Anweisungen waren verwirrend und unvollständig.,negative
This service exceeded my expectations.,positive
Das Material fühlt sich billig an und reißt leicht.,negative
"Этот инструмент тратит больше времени, чем экономит.",negative
This keyboard is okay once you adjust to it.,neutral
"Опыт не был ни гладким, ни сложным.",neutral
Навигация медленная и излишне сложная.,negative
It performs well.,positive
Ich nutze dieses Produkt gerne.,positive
Das Endergebnis wirkt schlampig und unfertig.,negative
Das ist ausgezeichnete Qualität.,positive
Ich bin von der Akkulaufzeit beeindruckt.,positive
Мне действительно нравится этим пользоваться.,positive
"Интерфейс удобен, когда разберешься, где что находится.",neutral
"Я могу этим пользоваться, но не испытываю сильных чувств.",neutral
Работает как задумано.,neutral
"Die App stürzt jedes Mal ab, wenn ich sie öffne.",negative
"The material feels standard, nothing remarkable.",neutral
Highly recommend this product.,positive
The color and finish look great in person.,positive
Ich bin mit den Ergebnissen zufrieden.,positive
The final result looks fantastic.,positive
Время отклика разумное.,neutral
The design is plain but functional.,neutral
The results were disappointing.,negative
"Ich liebe dieses Produkt absolut, es funktioniert perfekt.",positive
Мне действительно нравится этот товар.,positive
"Я ни доволен, ни недоволен.",neutral
Dieser Kurs hat das Thema sehr klar erklärt.,positive
Для меня это работает нормально.,neutral
"Я столкнулся с ошибками, прежде чем смог завершить настройку.",negative
The color is slightly different but acceptable.,neutral
Этот курс был неорганизованным и трудным для понимания.,negative
"Es ist, denke ich, okay.",neutral
Дизайн выглядит современно и элегантно.,positive
"Результат приемлемый, но не выдающийся.",neutral
Общая ценность низкая за такие деньги.,negative
Das Material fühlt sich hochwertig und langlebig an.,positive
This laptop is fine for basic office tasks.,neutral
Дизайн выглядит устаревшим и неуклюжим.,negative
Der Gesamtwert ist für den Preis schlecht.,negative
This is excellent quality.,positive
Это просто нормально.,neutral
Все в порядке.,neutral
Процесс оформления заказа сработал после одной повторной попытки.,neutral
This service failed to deliver what was promised.,negative
Работает как и ожидалось.,neutral
The material feels premium and durable.,positive
"Nichts Beeindruckendes, es wirkt gewöhnlich.",neutral
Die Qualität ist schlecht und billig.,negative
Customer support solved my problem quickly.,positive
Die App stürzt ständig ab.,negative
"Die Bedienelemente sind in Ordnung, sobald sie eingerichtet sind.",neutral
Es ist überhaupt nicht gut.,negative
Итоговый результат выглядит фантастически.,positive
Это было огромное разочарование.,negative
This is outstanding and impressive.,positive
Меня впечатлило качество сборки.,positive
Новая функция действительно полезна.,positive
Navigation is slow and unnecessarily complicated.,negative
Доставка пришла в запланированную дату.,neutral
The design looks modern and elegant.,positive
Я очень доволен этим.,positive
The quality is poor and cheap.,negative
I feel okay about this.,neutral
"Ну, это нормально, наверное.",neutral
This camera takes beautiful photos.,positive
Die Verpackung war standardmäßig und unbeschädigt.,neutral
Absolut wunderbare Erfahrung.,positive
"Das Produkt funktioniert, aber nichts sticht hervor.",neutral
"Mir gefällt, wie zuverlässig es bisher war.",positive
Этот сервис превзошел мои ожидания.,positive
"The product works, but nothing stands out.",neutral
Das Design wirkt modern und elegant.,positive
This is frustrating and annoying.,negative
"Ich liebe, wie einfach dieses System ist.",positive
I am very happy with it.,positive
"Das Material fühlt sich normal an, nichts Besonderes.",neutral
Die Erfahrung war furchtbar.,negative
Поддержка клиентов быстро решила мою проблему.,positive
This is the best purchase I made.,positive
"Приложение работает, но иногда подтормаживает.",neutral
This service met my basic expectations.,neutral
Ich bin mit dem Gesamtwert zufrieden.,positive
Das Produkt ist nach zwei Tagen kaputtgegangen.,negative
Я доволен общей ценностью.,positive
Die Erfahrung war schrecklich.,negative
The product stopped working.,negative
Die Ergebnisse waren enttäuschend.,negative
Качество сборки хрупкое и разочаровывающее.,negative
"Он делает свою работу, ничем не выделяясь.",neutral
"Ich hasse, wie langsam diese App ist.",negative
Эта камера выдает размытые снимки даже при хорошем освещении.,negative
I would definitely buy this again.,positive
This is not worth it.,negative
"Большинство частей в порядке, с несколькими шероховатостями.",neutral
Ich bin bei diesem Update neutral eingestellt.,neutral
Время отклика мучительно медленное.,negative
В этом нет ничего особенного.,neutral
"The update changed a few settings, but it is manageable.",neutral
Приложение ощущается плавным и отзывчивым.,positive
Эта камера делает красивые фотографии.,positive
I am very disappointed with the quality.,negative
"Мне нравится, насколько надежным он был до сих пор.",positive
"Приложение вылетает каждый раз, когда я его открываю.",negative
The new feature is broken and unusable.,negative
Dieser Service hat meine grundlegenden Erwartungen erfüllt.,neutral
Ich bin sehr glücklich damit.,positive
I will not buy this again.,negative
Ich bin sehr zufrieden damit.,positive
Это усложнило мою работу.,negative
Опыт был отвратительным.,negative
Потрясающая производительность и отличный дизайн.,positive
Я так сильно это ненавижу.,negative
The interface is clean and intuitive.,positive
Dieser Kurs war unorganisiert und schwer nachzuvollziehen.,negative
The interface is confusing and hard to use.,negative
Die neue Funktion ist kaputt und unbrauchbar.,negative
Die Audioqualität ist satt und klar.,positive
This course explained the topic very clearly.,positive
I might buy this again if the price is right.,neutral
The experience is average.,neutral
"Nothing impressive, it feels ordinary.",neutral
This is exactly what I needed.,positive
Es ist weder gut noch schlecht.,neutral
"Dieser Service hat nicht geliefert, was versprochen wurde.",negative
It is acceptable for daily use.,neutral
Die Leistung ist unter hoher Last ausgezeichnet.,positive
Этот плагин ломает мой рабочий процесс.,negative
"Эта версия отличается, но не лучше и не хуже.",neutral
Это нормально для базового использования.,neutral
I am unhappy with this purchase.,negative
Этот ноутбук подходит для базовых офисных задач.,neutral
This is wonderful.,positive
Performance is steady for normal workloads.,neutral
This keyboard is comfortable for long sessions.,positive
The new feature is genuinely useful.,positive
Я впечатлен временем работы батареи.,positive
I really appreciate the fast support.,positive
I love it so much.,positive
Das Endergebnis sieht fantastisch aus.,positive
