text,sentiment
"Die Audioqualität ist für gelegentliches Hören akzeptabel.",neutral
"Die Audioqualität ist verzerrt und verrauscht.",negative
"Die Einrichtung war einfach und alles funktionierte beim ersten Versuch.",positive
"Die Einrichtung hat etwas Zeit gekostet, aber am Ende hat es funktioniert.",neutral
"Die Einrichtung war verwirrend und ist mehrfach fehlgeschlagen.",negative
"Diese Kamera macht wunderschöne Fotos.",positive
"Diese Kamera funktioniert bei Tageslicht wie erwartet.",neutral
"Diese Kamera produziert selbst bei gutem Licht unscharfe Bilder.",negative
"Die Benutzeroberfläche ist sauber und intuitiv.",positive
"Die Benutzeroberfläche ist nutzbar, sobald man weiß, wo alles ist.",neutral
"Die Benutzeroberfläche ist überladen und frustrierend.",negative
"Der Versand war schneller als versprochen.",positive
"Der Versand kam am geplanten Datum an.",neutral
"Der Versand hat sich ohne Erklärung zweimal verspätet.",negative
"Das Material fühlt sich hochwertig und langlebig an.",positive
"Das Material fühlt sich normal an, nichts Besonderes.",neutral
"Das Material fühlt sich billig an und reißt leicht.",negative
"Ich würde das auf jeden Fall wieder kaufen.",positive
"Ich könnte das wieder kaufen, wenn der Preis stimmt.",neutral
"Ich werde das nicht noch einmal kaufen.",negative
"Die Leistung ist unter hoher Last ausgezeichnet.",positive
"Die Leistung ist bei normalen Arbeitslasten stabil.",neutral
"Die Leistung bricht selbst bei leichter Nutzung stark ein.",negative
"Das Design wirkt modern und elegant.",positive
"Das Design ist schlicht, aber funktional.",neutral
"Das Design wirkt veraltet und unbeholfen.",negative
"Dieser Kurs hat das Thema sehr klar erklärt.",positive
"Dieser Kurs hat die Grundlagen ohne große Tiefe behandelt.",neutral
"Dieser Kurs war unorganisiert und schwer nachzuvollziehen.",negative
"Die App fühlt sich flüssig und reaktionsschnell an.",positive
"Die App funktioniert, aber sie hat gelegentlich Verzögerungen.",neutral
"Die App stürzt jedes Mal ab, wenn ich sie öffne.",negative
"Diese Tastatur ist bei langen Sitzungen bequem.",positive
"Diese Tastatur ist okay, wenn man sich daran gewöhnt hat.",neutral
"Diese Tastatur hat klemmende Tasten und verpasst Eingaben.",negative
"Ich schätze die durchdachte Verpackung.",positive
"Die Verpackung war standardmäßig und unbeschädigt.",neutral
"Die Verpackung kam zerrissen und schlecht geschützt an.",negative
"Die Anweisungen waren klar und leicht zu befolgen.",positive
"Die Anweisungen waren kurz, aber verständlich.",neutral
"Die Anweisungen waren verwirrend und unvollständig.",negative
"Dieser Service hat meine Erwartungen übertroffen.",positive
"Dieser Service hat meine grundlegenden Erwartungen erfüllt.",neutral
"Dieser Service hat nicht geliefert, was versprochen wurde.",negative
"Die Farbe und das Finish sehen in echt großartig aus.",positive
"Die Farbe ist etwas anders, aber akzeptabel.",neutral
"Die Farbe ist völlig anders als in der Anzeige.",negative
"Die neue Funktion ist wirklich nützlich.",positive
"Die neue Funktion ist vorhanden, auch wenn ich sie selten nutze.",neutral
"Die neue Funktion ist kaputt und unbrauchbar.",negative
"Ich bin mit dem Gesamtwert zufrieden.",positive
"Der Gesamtwert ist für den Preis fair.",neutral
"Der Gesamtwert ist für den Preis schlecht.",negative
"Die Navigation ist schnell und mühelos.",positive
"Die Navigation ist nach etwas Übung okay.",neutral
"Die Navigation ist langsam und unnötig kompliziert.",negative
"Das Produkt wirkt gut verarbeitet.",positive
"Das Produkt funktioniert, aber nichts sticht hervor.",neutral
"Das Produkt wirkt schlecht verarbeitet.",negative
"Das war eine angenehme Überraschung.",positive
"Das war ungefähr das, was ich erwartet habe.",neutral
"Das war eine riesige Enttäuschung.",negative
"Mir gefällt, wie zuverlässig es bisher war.",positive
"Es war größtenteils zuverlässig, mit kleineren Problemen.",neutral
"Es war vom ersten Tag an unzuverlässig.",negative
"Die Bedienelemente sind unkompliziert.",positive
"Die Bedienelemente sind in Ordnung, sobald sie eingerichtet sind.",neutral
"Die Bedienelemente sind inkonsistent und reagieren nicht.",negative
"Das Endergebnis sieht fantastisch aus.",positive
"Das Endergebnis ist für grundlegende Bedürfnisse akzeptabel.",neutral
"Das Endergebnis wirkt schlampig und unfertig.",negative
"Dieses Plugin integriert sich perfekt in meinen Workflow.",positive
