text,sentiment
"Этот инструмент тратит больше времени, чем экономит.",negative
"Улучшения очевидны и ценны.",positive
"Улучшения незначительные, но заметные.",neutral
"Так называемые улучшения сделали все хуже.",negative
"Меня впечатлило качество сборки.",positive
"Качество сборки среднее.",neutral
"Качество сборки хрупкое и разочаровывающее.",negative
"Время отклика отличное.",positive
"Время отклика разумное.",neutral
"Время отклика мучительно медленное.",negative
"Это значительно упростило мою работу.",positive
"Это почти не повлияло на мою работу.",neutral
"Это усложнило мою работу.",negative
"Вкус насыщенный и сбалансированный.",positive
"Вкус мягкий и обычный.",neutral
"Вкус неприятный и горький.",negative
"Он делает свою работу, ничем не выделяясь.",neutral
"Я могу этим пользоваться, но не испытываю сильных чувств.",neutral
"Опыт не был ни гладким, ни сложным.",neutral
"Он работает похоже на другие варианты в этой категории.",neutral
"Результат приемлемый, но не выдающийся.",neutral
"Для моих нужд это в целом нормально.",neutral
"Эта версия отличается, но не лучше и не хуже.",neutral
"Последнее обновление удалило функции, на которые я полагаюсь.",negative
"Соединение продолжает случайно обрываться.",negative
"Я столкнулся с ошибками, прежде чем смог завершить настройку.",negative
